OrderID,AgeRange
10701,31-40
10703,31-40
10704,31-40
10705,31-40
10708,31-40
10712,31-40
10715,31-40
10723,31-40
10731,31-40
10732,31-40
10735,31-40
10736,31-40
10739,31-40
10742,31-40
10744,31-40
10745,31-40
10747,31-40
10748,31-40
10750,31-40
10751,31-40
10753,31-40
10754,31-40
10757,31-40
10758,31-40
10759,31-40
10762,31-40
10763,31-40
10764,31-40
10765,31-40
10768,31-40
10769,31-40
10771,31-40
10772,31-40
10775,31-40
10777,31-40
10778,31-40
10779,31-40
10782,31-40
10790,31-40
10791,31-40
10793,31-40
10794,31-40
10796,31-40
10797,31-40
10799,31-40
10804,31-40
10806,31-40
10809,31-40
10814,31-40
10817,31-40
10818,31-40
10820,31-40
10822,31-40
10826,31-40
10828,31-40
10829,31-40
10831,31-40
10833,31-40
10836,31-40
10837,31-40
10838,31-40
10839,31-40
10848,31-40
10849,31-40
10853,31-40
10854,31-40
10855,31-40
10856,31-40
10860,31-40
10867,31-40
10868,31-40
10871,31-40
10876,31-40
10879,31-40
10880,31-40
10885,31-40
10889,31-40
10890,31-40
10891,31-40
10893,31-40
10895,31-40
10896,31-40
10897,31-40
10903,31-40
10904,31-40
10905,31-40
10907,31-40
10911,31-40
10914,31-40
10918,31-40
10923,31-40
10924,31-40
10925,31-40
10929,31-40
10933,31-40
10934,31-40
10936,31-40
10937,31-40
10938,31-40
10941,31-40
10942,31-40
10944,31-40
10947,31-40
10948,31-40
10951,31-40
10953,31-40
10956,31-40
10958,31-40
10959,31-40
10960,31-40
10963,31-40
10964,31-40
10965,31-40
10970,31-40
10973,31-40
10974,31-40
10978,31-40
10988,31-40
10993,31-40
10999,31-40
11003,31-40
11004,31-40
11006,31-40
11008,31-40
11011,31-40
11016,31-40
11017,31-40
11019,31-40
11021,31-40
11022,31-40
11025,31-40
11030,31-40
11031,31-40
11033,31-40
11037,31-40
11041,31-40
11045,31-40
11047,31-40
11048,31-40
11049,31-40
11051,31-40
11052,31-40
11055,31-40
11057,31-40
11058,31-40
11063,31-40
11066,31-40
11074,31-40
10248,41-50
10254,41-50
10262,41-50
10265,41-50
10268,41-50
10269,41-50
10276,41-50
10277,41-50
10278,41-50
10279,41-50
10280,41-50
10286,41-50
10287,41-50
10290,41-50
10295,41-50
10297,41-50
10300,41-50
10301,41-50
10305,41-50
10307,41-50
10310,41-50
10312,41-50
10313,41-50
10318,41-50
10320,41-50
10327,41-50
10333,41-50
10334,41-50
10339,41-50
10345,41-50
10354,41-50
10358,41-50
10359,41-50
10366,41-50
10368,41-50
10369,41-50
10372,41-50
10378,41-50
10379,41-50
10380,41-50
10383,41-50
10388,41-50
10392,41-50
10397,41-50
10398,41-50
10399,41-50
10402,41-50
10404,41-50
10407,41-50
10408,41-50
10412,41-50
10414,41-50
10416,41-50
10421,41-50
10422,41-50
10435,41-50
10437,41-50
10443,41-50
10450,41-50
10452,41-50
10455,41-50
10456,41-50
10457,41-50
10460,41-50
10462,41-50
10463,41-50
10467,41-50
10471,41-50
10472,41-50
10474,41-50
10476,41-50
10477,41-50
10478,41-50
10481,41-50
10487,41-50
10488,41-50
10491,41-50
10498,41-50
10502,41-50
10515,41-50
10516,41-50
10521,41-50
10529,41-50
10533,41-50
10534,41-50
10541,41-50
10543,41-50
10545,41-50
10549,41-50
10552,41-50
10553,41-50
10556,41-50
10560,41-50
10561,41-50
10563,41-50
10565,41-50
10569,41-50
10571,41-50
10575,41-50
10583,41-50
10588,41-50
10589,41-50
10595,41-50
10596,41-50
10602,41-50
10603,41-50
10607,41-50
10610,41-50
10614,41-50
10615,41-50
10620,41-50
10623,41-50
10627,41-50
10631,41-50
10632,41-50
10635,41-50
10648,41-50
10649,41-50
10650,41-50
10651,41-50
10654,41-50
10657,41-50
10660,41-50
10663,41-50
10669,41-50
10673,41-50
10675,41-50
10676,41-50
10679,41-50
10683,41-50
10686,41-50
10691,41-50
10694,41-50
10696,41-50
10706,41-50
10711,41-50
10714,41-50
10719,41-50
10720,41-50
10721,41-50
10722,41-50
10724,41-50
10727,41-50
10729,41-50
10730,41-50
10734,41-50
10737,41-50
10738,41-50
10752,41-50
10756,41-50
10761,41-50
10770,41-50
10780,41-50
10781,41-50
10786,41-50
10787,41-50
10795,41-50
10798,41-50
10805,41-50
10808,41-50
10810,41-50
10811,41-50
10812,41-50
10815,41-50
10819,41-50
10823,41-50
10824,41-50
10832,41-50
10841,41-50
10844,41-50
10845,41-50
10846,41-50
10851,41-50
10852,41-50
10857,41-50
10858,41-50
10862,41-50
10865,41-50
10866,41-50
10869,41-50
10870,41-50
10872,41-50
10874,41-50
10883,41-50
10887,41-50
10899,41-50
10912,41-50
10915,41-50
10919,41-50
10922,41-50
10932,41-50
10939,41-50
10940,41-50
10949,41-50
10954,41-50
10955,41-50
10957,41-50
10961,41-50
10962,41-50
10967,41-50
10971,41-50
10977,41-50
10979,41-50
10982,41-50
10983,41-50
10985,41-50
10986,41-50
10987,41-50
10989,41-50
10990,41-50
10994,41-50
10997,41-50
10998,41-50
11000,41-50
11001,41-50
11005,41-50
11007,41-50
11009,41-50
11010,41-50
11013,41-50
11014,41-50
11015,41-50
11020,41-50
11028,41-50
11032,41-50
11034,41-50
11035,41-50
11036,41-50
11042,41-50
11043,41-50
11046,41-50
11050,41-50
11053,41-50
11054,41-50
11056,41-50
11059,41-50
11060,41-50
11065,41-50
11068,41-50
11070,41-50
11073,41-50
11075,41-50
10250,Above 50
10252,Above 50
10257,Above 50
10258,Above 50
10259,Above 50
10260,Above 50
10261,Above 50
10267,Above 50
10270,Above 50
10275,Above 50
10281,Above 50
10282,Above 50
10284,Above 50
10285,Above 50
10288,Above 50
10292,Above 50
10293,Above 50
10294,Above 50
10299,Above 50
10302,Above 50
10304,Above 50
10306,Above 50
10311,Above 50
10314,Above 50
10315,Above 50
10316,Above 50
10323,Above 50
10325,Above 50
10326,Above 50
10328,Above 50
10329,Above 50
10337,Above 50
10338,Above 50
10340,Above 50
10342,Above 50
10343,Above 50
10344,Above 50
10347,Above 50
10348,Above 50
10351,Above 50
10357,Above 50
10360,Above 50
10361,Above 50
10363,Above 50
10364,Above 50
10371,Above 50
10373,Above 50
10374,Above 50
10376,Above 50
10377,Above 50
10382,Above 50
10385,Above 50
10387,Above 50
10389,Above 50
10393,Above 50
10394,Above 50
10396,Above 50
10400,Above 50
10401,Above 50
10403,Above 50
10405,Above 50
10417,Above 50
10418,Above 50
10419,Above 50
10426,Above 50
10427,Above 50
10430,Above 50
10431,Above 50
10440,Above 50
10447,Above 50
10448,Above 50
10451,Above 50
10453,Above 50
10454,Above 50
10459,Above 50
10461,Above 50
10464,Above 50
10465,Above 50
10466,Above 50
10469,Above 50
10470,Above 50
10473,Above 50
10482,Above 50
10485,Above 50
10486,Above 50
10493,Above 50
10494,Above 50
10499,Above 50
10504,Above 50
10508,Above 50
10509,Above 50
10511,Above 50
10518,Above 50
10522,Above 50
10524,Above 50
10525,Above 50
10526,Above 50
10535,Above 50
10537,Above 50
10542,Above 50
10544,Above 50
10546,Above 50
10551,Above 50
10554,Above 50
10558,Above 50
10562,Above 50
10564,Above 50
10567,Above 50
10574,Above 50
10578,Above 50
10579,Above 50
10580,Above 50
10584,Above 50
10587,Above 50
10590,Above 50
10591,Above 50
10598,Above 50
10600,Above 50
10604,Above 50
10605,Above 50
10606,Above 50
10608,Above 50
10612,Above 50
10613,Above 50
10616,Above 50
10617,Above 50
10618,Above 50
10621,Above 50
10622,Above 50
10624,Above 50
10626,Above 50
10628,Above 50
10629,Above 50
10630,Above 50
10634,Above 50
10636,Above 50
10640,Above 50
10641,Above 50
10645,Above 50
10647,Above 50
10652,Above 50
10653,Above 50
10655,Above 50
10658,Above 50
10664,Above 50
10665,Above 50
10668,Above 50
10670,Above 50
10671,Above 50
10674,Above 50
10677,Above 50
10680,Above 50
10685,Above 50
10688,Above 50
10689,Above 50
10690,Above 50
10692,Above 50
10698,Above 50
10702,Above 50
10707,Above 50
10709,Above 50
10710,Above 50
10713,Above 50
10716,Above 50
10717,Above 50
10718,Above 50
10725,Above 50
10726,Above 50
10728,Above 50
10733,Above 50
10740,Above 50
10741,Above 50
10743,Above 50
10746,Above 50
10749,Above 50
10755,Above 50
10760,Above 50
10766,Above 50
10767,Above 50
10773,Above 50
10774,Above 50
10776,Above 50
10783,Above 50
10784,Above 50
10785,Above 50
10788,Above 50
10789,Above 50
10792,Above 50
10800,Above 50
10801,Above 50
10802,Above 50
10803,Above 50
10807,Above 50
10813,Above 50
10816,Above 50
10821,Above 50
10825,Above 50
10827,Above 50
10830,Above 50
10834,Above 50
10835,Above 50
10840,Above 50
10842,Above 50
10843,Above 50
10847,Above 50
10850,Above 50
10859,Above 50
10861,Above 50
10863,Above 50
10864,Above 50
10873,Above 50
10875,Above 50
10877,Above 50
10878,Above 50
10881,Above 50
10882,Above 50
10884,Above 50
10886,Above 50
10888,Above 50
10892,Above 50
10894,Above 50
10898,Above 50
10900,Above 50
10901,Above 50
10902,Above 50
10906,Above 50
10908,Above 50
10909,Above 50
10910,Above 50
10913,Above 50
10916,Above 50
10917,Above 50
10920,Above 50
10921,Above 50
10926,Above 50
10927,Above 50
10928,Above 50
10930,Above 50
10931,Above 50
10935,Above 50
10943,Above 50
10945,Above 50
10946,Above 50
10950,Above 50
10952,Above 50
10966,Above 50
10968,Above 50
10969,Above 50
10972,Above 50
10975,Above 50
10976,Above 50
10980,Above 50
10981,Above 50
10984,Above 50
10991,Above 50
10992,Above 50
10995,Above 50
10996,Above 50
11002,Above 50
11012,Above 50
11018,Above 50
11023,Above 50
11024,Above 50
11026,Above 50
11027,Above 50
11029,Above 50
11038,Above 50
11039,Above 50
11040,Above 50
11044,Above 50
11061,Above 50
11062,Above 50
11064,Above 50
11067,Above 50
11069,Above 50
11071,Above 50
11072,Above 50
11076,Above 50
11077,Above 50
